NOMBRE,CODIGO_LOCALIDAD
VERONA,11
PARCELACION EL JARDIN LTDA,11
PRADO VERANIEGO,11
MORAVIA,09
PRADOS DE LA ALAMEDA I Y II,09
COSTA RICA,11
LAS VEGAS DE POTOSI,19
TRIANGULO ALTO,04
PREDIO EL HORIZONTE VIA A COTA SALITRE,11
EL NARANJAL,11
SAN PEDRO DE TIBABUYES,11
SAN FRANCISCO NORTE,11
LA ESPERANZA I,10
CALARCA BARRIO PASTRANA,08
LA CHUCUA NORTE,11
GUILLERMO NUÑEZ,11
RINCON DE BOYACA,11
URBANIZACION EL PORTAL DE LAS MERCEDES,11
SAN BLAS II SECTOR I,04
CEDRITOS DEL SUR 3º SECTOR,19
BARRIO EL REAL ( MANZANAS P-Q),10
LOS CEREZOS-LA ESPERANZA,10
EL ROSARIO III,08
VILLA EMILIA AMPARO SEGUNDO SECTOR,08
SAN PEDRO,04
JERUSALEN,19
LOTEO LA LIBERTAD,12
LA RECONQUISTA,18
EL JORDAN II SECTOR,09
JUAN XXIII,02
BARRIO CANADA (ASD) SECTOR LA GUIRA II SEC,04
VERBENAL I,01
SAN JAVIER,07
URBANIZACION SANTA MONICA,08
BARRIO SAN JUAN II Y III SECTOR,05
VILLA ANDRES,08
BELLA VISTA,08
"URBANIZACION SAN JUDAS, BARRIO LA ESTACION",07
FINCA LA ESPERANZA (BOSA),07
BARRIO BRASIL SECTORES PORTAL CASTILLO,07
SUBDIVISION LOTE CALLE 23 NO. 123A-54 EL LAUREL FONTIBON,09
URBANIZACION SAN CARLOS,06
VILLA LILIANA,09
CALLEJON DE SANTA BARBARA SECTOR  MIRADOR 1,18
LAS DELICIAS DEL SUR ZONA 19,19
EL CASTILLO (ANTES EL DIVISO Y SAN PABLO),19
CALLEJON DE SANTA BARBARA II SECTOR,18
SAN ISIDRO AUTOPISTA SUR,19
SAN JUAN BOSCO II SECTOR,01
PRADO  PINZON   IV,11
TESORO SAN MARCOS ALTO,19
SAN MANUEL 2 SECTOR,04
EL PINO,11
AMAPOLAS,04
URBANIZACION SAN BASILIO,10
LA CAROLINA II,11
JULIO FLOREZ,11
EL VERDON,10
PARIS GAITAN,10
VIÑA DEL MAR,10
"URBANIZACION ""SUR AMERICA""",04
LA COLMENA,04
EL PLAYON  PLAYITA,18
BARRIO BRASIL SECTOR LOPEZ - PIÑEROS,07
AMARUC,07
SANTA LUCIA,07
TIBABITA II SECTOR,01
SAN GERARDO,11
SANTA LIBRADA III,05
LAS PALMERAS,10
LAS MERCEDES,10
PREDIO EL RECUERDO BARRIO SAN JORGE ALTO,18
LA MERCED SUR SAN IGNACIO,18
VILLA ANGELICA (CANADA GUIRA),04
LA FRANJA DE BUENAVISTA,01
BARRIO VILLA SUSANA,11
LA ESTACION DISTRITAL FINCA RAIZ,07
HOLANDA I SECTOR,07
SANTA FE III SECTOR,07
"PREDIO ""SAN JOSE"" BARRIO BRASILIA 3ER SECTOR.",07
LA GLORIA,04
URBANIZACION LAS HUERTAS,19
EL RECODO-REPUBLICA DE CANADA,04
SAN JOSE II SECTOR,07
BELEN EL EDEN,09
VILLA ELVIRA,08
PUENTE VEGA,08
VILLA HELENA,19
LA PLAYA,19
LA PLAYA II,19
SABANA DEL DORADO,10
EL TRIANGULO,10
MANZANA 42 PRADO VERANIEGO,11
PALMA ALDEA,11
URBANIZACION BELLAVISTA,10
BARRIO ANDALUCIA,10
CALARCA II LOTES 1-2-3-4-5-6-7 Y 8,08
VALENCIA LA CHUCUA,08
TIBABUYES II,11
HOLANDA II SECTOR,07
NUEVO CHILE,07
PARAISO BAVARIA,09
SAN CRISTOBAL ALTO,04
SANTA LIBRADA VEREDA TUNJUELITO,05
SAN VICENTE ALTO,04
BARRIO SAN FRANCISCO PARTE ALTA II,11
EL RODEO SECTOR BOSA NOVA,07
"LOS LIBERTADORES (SECTORES EL DIAMANTE, EL BOSQUE, EL TRIANGULO)",04
LOS LIBERTADORES,04
LOS LIBERTADORES,04
SANTA CLARA,15
ANTONIA SANTOS I,07
SAN CRISTOBAL NORTE,01
LA GLORIA,04
HIPOLITO RESTREPO,01
GRAN BRITALIA,08
LA PERLA ORIENTAL,01
LA CABAÑA-FONTIBON,09
EL PINAR REPUBLICA DE CANADA,04
LAS BRISAS I,04
BELEN BATAVIA,09
LOS NARANJOS (EL CODITO),01
TIBABITA 1,01
VERBENAL SECTOR SAN ANTONIO,01
VERSALLES II,09
VILLA BEGONIA LOS LIBERTADORES,04
GRANJAS DE SAN PABLO II,18
SAN FRANCISCO CENTRO SUBA,11
EL GUAVIO,03
"URB ""EL BALCON""",03
EL CONSUELO,03
MARANDU,10
MEISSEN SIDAUTO,10
EL ROSARIO,08
EL RECUERDO II SECTOR,07
SAN BLAS SECTOR LAS MERCEDES,04
VILLA CLEMENCIA SECTOR TIERRA GRATA,08
TUNA ALTA,11
AGUADITA II,11
LA MARIA,08
BUENAVISTA SURORIENTAL II,04
EL REFUGIO,05
EL BALCON DE LA CASATAÑA BARRIO ALCALDIA MENOR DE SAN CRISTOBAL,04
VISTA HERMOSA,19
REPUBLICA DEL CANADA SUR,19
LA CABAÑA II SECTOR,09
ATAHUALPA I PREDIO EL CAJON SECTOR I,09
URBANIZACION BARRANQUILLITA,08
GETSEMANI,07
LOS LIBERTADORES,04
ARISTOTELES ONASIS I,08
LA PLAYA I SECTOR,19
PINAR DEL RIO III SECTOR,08
BARRIO VILLA SUSANA,11
URBANIZACION VILLA ELISA,11
CALLEJÓN DE SANTA BÁRBARA SUR I Y II SECTOR,18
BUENAVISTA SECTOR A LUCERO ALTO,19
EL DANUBIO DEL SUR,18
LA CABAÑA,19
EL PORVENIR II ETAPA,19
SOTAVENTO,19
LA CAROLINA III,11
PRADO VERANIEGO CARRERA 41 CALLES 129 Y 130,11
BRITALIA LA MONEDA,11
SAN ISIDRO SUR,05
CASA REY,05
VILLAS DEL EDEN,05
SAN CRISTOBAL SUR,04
VERBENAL III SECTOR,01
CANTALEJO,11
JAVA 1 SECTOR,11
PERPETUO SOCORRO,08
PASTRANITA II SECTOR,08
SAN JUSTINO,18
VILLA DEL SOL,18
TOBERIN ORIENTAL,01
TIBABUYES I SECTOR,11
LA ESPERANZA,19
SANTA ROSA DE LIMA,03
CIUDAD JARDIN DEL NORTE ,11
GRANADA NORTE ,11
"CANTALEJO ""SECTOR ALEJANDRIA""",11
SANTA CECILIA,09
RINCON DE MODELIA,09
LA LAGUNA,09
FLANDES,09
VALLEVERDE,09
EL  PORTAL DE PATIO  BONITO,08
EL CARMEN VEREDA EL RINCON,11
RAMAJAL VIA ORIENTE,04
LA PAZ,10
SAN ANTONIO-MIRADOR,19
EL BOGOTANO II,09
CONDOMINIO ALAMOS,10
SANTA CECILIA II,01
SAN PEDRO FERROCARRIL AV. 9,01
LA IGUALDAD II,08
VILLA GLADYS I,18
CALLEJON DE SANTA BARBARA 1 (ANTES EL MIRADOR SECTOR EL MIRADOR II),18
EL PLAYON II ANTES EL CONSUELO (LA PLAYITA),18
VILLA ELISA I,11
SAN CRISTOBAL 1,01
SAN IGNACIO II,10
LA NUEVA GLORIA II SECTOR,04
EL TRIUNFO,03
ROCIO ( PARTE BAJA),03
VILLA SAGRARIO,10
SAN CAYETANO,11
GIRARDOT,03
LAS MERCEDES II,10
LA PALMA - EL RECREO,10
BELLAVISTA,11
URBANIZACION LA MARCELA LOTE 26 B,10
CARTAGENA,03
RINCON DE SUBA,11
PRADO VERANIEGO MANZANAS  18-6-5,11
PALMAR CUARTO SECTOR,10
HOLANDA,07
LA CRISTALINA,01
LA URIBE,01
PRIMAVERA SUR OCCIDENTAL,19
URBANIZACION LA PALESTINA,09
URBANIZACION MONTERREY,08
URBANIZACION VALLADOLID,08
BARRIO AMPARO CAÑIZARES,08
RINCON SECTOR EL CONDOR MORTIÑO,11
LAS FLORES II,05
SAN PEDRO LOS ROBLES,09
URB.VERACRUZ,09
KAZANDRA,09
BOGOTA II SECTOR,19
EL BOSQUE,19
ALTAMIRA 2010,04
ARAUQUITA  II,01
CASABLANCA SECTOR EL PLAN,11
VILLA DEL CARMEN,01
VITELMA I,04
SANTA BARBARA,11
ROCIO ORIENTAL,03
SANTA INES,07
SANTA RITA,11
BERLIN 4 SECTOR,11
PALO BLANCO,10
PRADO VERANIEGO MANZANA 23,11
PRADO VERANIEGO MANZANA 03,11
URBANIZACION LONDRES,11
TORRELADERA CASABLANCA,11
SANTA CECILIA I SECTOR,01
TUNA BAJA III,11
VERBENAL 5,01
EL PARAISO,09
LA TROPICAL COPETROCO,10
GRANADA NORTE-RELOTEO EL PORVENIR NORTE,11
SANTA ISABEL (VEREDA LA FLORES),11
SAN LUIS ALTOS DE JALISCO I,19
LOTEO SAN VICENTE,11
LA BELLEZA LOTE 230,04
EL MORTIÑO,11
LINTERAMA III,10
BARRIO BUENOS AIRES III SECTOR,19
ACACIAS,11
BARRIO EL OLIVO,08
SANTA FE DE BOSA,07
SAN PABLO,07
POTRERITO,07
LA LLANURITA,01
BUENOS AIRES,04
BARRIO BUENOS AIRES,05
LA PLAYA,18
TABOR-ALTALOMA,19
NUESTRA SEÑORA DE LA PAZ IV SECTOR,07
BARRANQUITOS,19
GUADUAL II,09
EL PORVENIR DE LA ESTANCIA,19
NUEVA ESPERANZA,18
VILLAS DE SAN JOAQUIN,19
SANTA LIBRADA,10
URBANIZACION VERACRUZ,10
VILLA ZARZAMORA,08
GRANCOLOMBIANO II SECTOR,07
GRANCOLOMBIANO I SECTOR,07
LA PORTADA II SECTOR,07
SAN PEDRO,07
LA PAZ II SECTOR,07
BARRIO LOS HEROES DE BOSA,07
SAN JOSE DE LOS SAUCES,19
BOSQUES DE SAN ANTONIO II,01
LUZ MELBA,01
POTRERITO A.S.D.,19
CAÑIZA SECTOR II,11
VILLA DEL CAMPO SEGUNDO SECTOR,11
VILLA DE LAS FLORES ,11
VILLAS DE KENNEDY II,08
LAS VEGAS,08
BARRIO LAS MARGARITAS,07
EL MOTORISTA,07
BELLO HORIZONTE,04
ANDALUCIA II SECTOR,08
DOMINGO LAIN 4 ETAPA,19
LA MERCED SUR,18
LOS CEREZOS,10
EL BOSQUE DE LOS MOLINOS,18
PRADOS DE SANTA BARBARA,11
BARRIO EL CEDRO,11
RESURRECCION V MENOS,18
NUEVO MILENIO,10
URBANIZACION DEL LOTE DEL SR. ZORLO GONZALES MUELLE,04
EL TRIUNFO DEL SUR,18
CORREDOR COMERCIAL SAN ANDRES,05
20 DE JULIO (GRANADA SUR),04
LA IGUALDAD I,08
LA ESPERANZA II SECTOR,11
LAS VIOLETAS,05
VILLA AURORA,04
LAS ARENERAS,01
ESPERANZA III,10
BARRIO VERSALLES,09
BELEN FONTIBON,09
URBANIZACION LAS PALMITAS,08
JAZMIN_OCCIDENTAL,08
BARRIO HATO NUEVO,08
LAS DELICIAS,16
LA RESURRECION IV SECTOR,18
LAS PALMAS,10
PUERTA DEL SOL ENGATIVA,10
LA FISCALA SECTOR CENTRO,05
BENJAMIN URIBE,05
BUENAVISTA SURORIENTAL ZONA 4,04
PATIO BONITO,08
VILLA MARIANA,08
LA AZUCENA A,07
BARRIO LA CRUZ DE TERREROS,07
BARRIO BETANIA,07
CASA DE TEJA I,19
ANTONIO JOSE DE SUCRE I SECTOR,05
EL SALITRE,11
EL REFUGIO LA SELFITA,09
SANTA ROSITA LA CAÑADA,18
SAUCES II SECTOR,07
EL RINCON DEL DIAMANTE,19
NUEVO PENSILVANIA SUR,18
EL MIRADOR SECTOR MOLINOS DEL SUR,18
LAS BRISAS,09
PRADERA II,18
LA CARBONERA II,19
PREDIO LAS PALMERAS,08
EL MIRADOR,18
LOS CHIRCALES DEL SUR,18
URBANIZACION GRANJAS SAN PABLO,18
RINCON DE LOS MOLINOS,18
NUEVA DELHI PARTE ALTA,04
SECTOR JOSE ISAIAS PARRA ANEXO A BELLO HORIZONTE,04
BELLO HORIZONTE III SECTOR,04
LAURELES SEGUNDO SECTOR,10
LAS BRISAS,05
EL RECUERDO,05
LOS ARRAYANES BARRIO SANTA INES,04
LOTEO LOS DOS LEONES,04
EL ROCIO,01
LA RIVERA II SECTOR,08
LA AURORA,11
URBANIZACION_TUNALITO,06
LA MORENA II,05
AVENIDA CUNDINAMARCA,08
VILLAS DE KENNEDY,08
ALTOS DE JALISCO,19
URB. TEUSAQUILLO DE SUBA,11
VILLA CATALINA III SECTOR,11
LA AURORA,11
SAN JUAN BOSCO COOPERATIVA INTEGRAL DE ARENEROS,01
CASA BLANCA NORTE BARRIO SAN CRISTOBAL NORTE,01
AINSUCA,01
CARRERA 17 Nº 153A 51 VEREDA BARRANCAS,01
BARRIO LOS CONSUELOS,01
MILLAN (LOS SAUCES),19
SANTA INES BARRIO LA ACACIA,19
BONANZA SUR,19
SOTAVENTO II (NUEVO SECTOR),19
RAMIREZ,03
BARRIO GRAN COLOMBIA,03
CASABLANCA SECTOR EL PINAR,11
TUNA ALTA SECTOR EL BOSQUE,11
RINCON DE CANTALEJO,11
BRITALIA LAS MARGARITAS,11
SAN JUANITO,18
VILLA EMMA,11
LA_LLANURITA_II,01
LA MORENA I,05
SAN JUAN BAUTISTA,05
BETANIA II SECTOR,05
USME- BARRIO BETANIA,05
YOMASITA,05
CARRETERA DE ORIENTE CALLE 35B SUR BELLAVISTA,04
LOS CHIRCALES,09
CARMEN DEL SOL I SECTOR,18
CAÑIZA SECTOR I,11
EL TOCHE,07
BARRIO VILLA DEL CAMPO II SECTOR (A),11
LA VICTORIA NORTE,11
"CHUCUA-III SECTOR ""ANEXO""",11
JAVA 2º SECTOR LOTES 1 Y 2,11
LOS OCALES,07
SAN BERNARDINO SEC. VILLA EMMA,07
BARRIO LA ILUSION,07
VILLA CARMENZA II SECTOR,09
MARCO FIDEL SUAREZ,18
URBANIZACION ALFA,19
TESORO TESORITO,19
ARRAYANES,18
MARCO FIDEL SUAREZ CARMEN DEL SOL,18
SOCORRO LA INDUSTRIA,18
VILLA ESTHER 2,18
BELLA VISTA SUR ORIENTAL/ PARTE ALTA,04
PUENTE COLORADO I,04
RECUERDO SUR I,05
VILLA ELISA II,11
CALVO SUR,04
EL VIRREY SOLIS,05
ROBLES,05
SAN JUAN DE USME IV SECTOR,05
EL SALTEADOR,05
ALTOS DE BRAZUELOS,05
EL JARDIN,01
CALIFORNIA,01
VILLAS DEL RINCON,11
EL DELIRIO,11
EL JARDIN,05
MANZS. A-B. BARRIO: PRADO VERANIEGO,11
EL NEVADO,05
BARRIO JORDAN USME,05
URBANIZACION LA FISCALA LOTE 16 Y LOTE 16A,05
URBANIZACION LA REGADERA SUR,05
NUESTRA SEÑORA DE LA PAZ SECTOR VILLA DEL CARMEN,07
AGRUPACION DE VIVIENDA LA PROVIDENCIA MEDIA,18
SANTA MARTA-VEREDA TUNJUELITO,05
LA FISCALA SECTOR DAZA,05
ARIZONA,05
SAN LUIS (HOY ALTOS DE JALISCO),19
ROCIO ALTOS DEL SUR,19
LA CHUCUA 3ER SECTOR,11
ATENAS,11
GRANADA NORTE VILLA SARMIENTO,11
LA LAGUNA I,09
EL VELERO,07
EL ROSAL,18
SANTA ANA,11
LOS MONARCAS,11
EL RUBI,09
LA ESTACION,09
ANTONIO MORALES II SECTOR CARRERA 5I Y CALLE 48 J SUR,18
URB. EL PEDREGAL,09
SAN PABLO,09
LA PERLA,09
INCORPORACION BARRIO CUCO,09
CORDILLERA SUR I,19
EL MANANTIAL,04
SANTA HELENA,19
VERSALLES PREDIO CALLE 33 NO. 106-22,09
SAN LORENZO,05
PANORAMA,05
VILLA_ISRAEL_II_SECTOR,05
VILLA ANITA III SECTOR,05
PUERTA AL LLANO II SECTOR,05
YOPAL (ANTES EL PEDREGAL),05
VIANEY,05
BARRIO EL CERRO - USAQUEN PARTE BAJA (VILLA NIDYA),01
EL PANTANITO,01
AZUCENA B,07
LA ESPERANZA DE TIBANICA,07
SANTA LIBRADA SECTOR SAN FRANCISCO,05
CHICO SUR II SECTOR,05
ALTAMIRA SECTOR SAN JOSE,04
BELLAVISTA (SECTOR EL LUCERO),04
TIBABUYES II. MZ. A Y MZ B.,11
JERICO,09
LA UNION,07
CIUDADELA LA LIBERTAD II,07
CAMILO TORRES,16
EL JORDAN,09
LA SELVA DORADA,09
EL PATIO TERCER SECTOR,08
BUENOS AIRES A.S.D.,19
SANTO DOMINGO,19
"CANTALEJO LOTE 15 MANZANA ""A""",11
"POSESION ""LA IGUALDAD""",08
SAN ANDRES ALTO,05
SAN RAFAEL DEL ALTO DE LA ESTANCIA,19
LAGUNITAS,19
SAN ANTONIO,07
INCORPORACION BARRIO EL TAPETE,09
EL TESORO,19
URBANIZACION CLAS,08
URBANIZACION GRAN YOMASA,05
BARRIO CALIMA NORTE,11
SALITRE I,11
URBANIZACION VILLA GLORIA,19
ALQUERIA DE LA FRAGUA SECTOR EL PARAISO,08
EL MIRADOR (LOS MOLINOS) II SECTOR,18
LOS SAUCES SECTOR LOS CEDROS,07
LA MARIA,05
VILLA BEATRIZ,09
BOGOTA SECTOR TEQUENDAMA,19
BARRIO LOS III REYES PRIMERA ETAPA,19
SECTOR II ALTAMAR,08
EL JORDAN II,08
"BARRIO: NUEVO KENNEDY ""EL DESCANSO""",08
PORVENIR SECTOR INDUCAS,07
BARRIO BRASIL SECTOR BARRETO,07
VEGAS DE SANTANA,07
VILLA BOSA,07
SANTA LIBRADA LA ESPERANZA,05
EL_RECUERDO,07
SAN JOSE,07
LA ALAMEDA II SECTOR,19
LA CARBONERA,19
EL ROSAL,19
ANTONIO JOSE DE SUCRE III,05
LAGOS DE CASTILLA 1,08
SECTOR GRANJAS DE SAN PEDRO,05
VEGAS DE SANTA ANA,08
BARRIO SAN LUIS,07
SANTA LIBRADA LA SUREÑA,05
CIUDADELA EL OASIS,05
VISION SEMIINDUSTRIAL,09
URBANIZACIÓN SAN FRANCISCO 1º SECTOR,19
SANTA RITA,11
VILLA ALEXANDRA,11
LA FISCALIA II SECTOR LA FORTUNA,05
PRADOS DE KENNEDY,08
BARRANQUILLITA,05
HORTELANOS DE ESCOCIA LA MAGNOLIA 2 SECTOR,07
NUEVA COLOMBIA,19
SANTA ROSA SUR,19
EL TESORITO,19
LOS ALPES,19
JUAN PABLO II,19
"SAN JAVIER,SAN JOSE,LA AURORA,VILLA BLANCA,SANTA ANA,SAN LUIS,SANTA ROSA",07
ALTOS DEL PINO,05
JUAN JOSE RONDON,05
NUEVA ESPERANZA,07
SAN MARTIN,07
LOURDES III,03
EL REFUGIO I Y II,05
LA ORQUIDEA,05
ORQUIDEA DEL SUR (2DO SECTOR),05
VILLA NELLY,05
SAN RAFAEL SUR ORIENTAL,04
SAN JACINTO,04
LA ESPERANZA (CALLE 131A),11
LAS MARGARITAS SECTORES I Y II,07
HORTELANOS DE ESCOCIA,07
SAN FERNANDO,19
ALAMEDA SUR SEGUNDO SECTOR ZONA B-1,18
URBANIZACION LA RIVERA I SECTOR,08
SABANA DEL DORADO,10
LA ESPERANZA II,10
EL_CODITO,01
URBANIZACION LA ESMERALDA,07
LAS VIVIENDAS BARRIO SANTA LIBRADA,05
BUENOS AIRES II,19
MINUTO DE MARIA,19
ACACIAS SUR,19
EL CERRO DEL DIAMANTE,19
SAN BERNARDO II SECTOR,05
SATURNO I,09
LA CARBONERA II,19
EGIPTO,17
BARRIO: PINAR DEL RIO II SECTOR,08
SAN BENITO,06
SAN FELIPE,05
ENGATIVA CENTRO EL CEDRO,10
EL PALMAR III,10
EL PARAISO LOS DOCE APOSTOLES,11
EL OCAL 2 SECTOR,11
VILLA HILDA,10
SOTAVENTO III Y IV SECTOR,19
NUEVO SAN LUIS,05
BARRIO VILLA ESMERALDA,07
BARRIO SAN MIGUEL,07
LUCERO BAJO (SECTOR LA CONQUISTA),19
BARRIO EL PROGRESO,07
LA LIBERTAD,07
DANUBIO,07
BELLAVISTA,05
EL MIRADOR,19
BARRIO GIBRALTAR I Y II,19
OCHO DE DICIEMBRE,19
BELLAVISTA LUCERO ALTO,19
LA VEGA SAN BERNARDINO BAJO,07
SIRACUZA,07
EL SAUCE,07
ATENAS SUORIENTAL III,04
LA FRAGUITA (ZONA INVADIDA),15
"LAS FLORES I SECTOR MANZANAS A,D,E,F,G,H,I,J,K",11
"LAS FLORES I SECTOR MANZANAS A,D,E,F,G,H,I,J,K",11
LA ESPERANZA BARRIO TIBABUYES SUBA,11
LOS MANZANARES (ANTES JMCF) 50311,07
SAN JUAN,05
AURES II SECTOR LA PLANTA,11
PRADO SUR II ETAPA,11
PREDIO SANTA BARBARA SEGUNDO SECTOR,11
BARRIO EL AMPARO,08
RESURRECCION,18
LA MORENA II SECTOR VILLA SANDRA,05
COMPOSTELA III,05
COMPOSTELA I,05
LA GIRALDILLA,08
"ESCOCIA VI, SECTORES 1, 2 Y 3",07
CIUDAD GALAN,08
VILLA DE LA LOMA,08
JACQUELINE,08
FLORESTA DEL SUR,08
PINAR DEL RIO,08
"SUBDIVISION PARCELA 33, PARCELACION EL PORVENIR PREDIO CATASTRAL 12944.",07
BARRIO LA ARBOLEDA,07
RODRIGO LARA BONILLA,11
PREDIO SAN MIGUEL TIBABUYES SUBA,11
LAS ORQUIDEAS 2 DO SECTOR,11
SALITRE SECTOR II,11
ONASIS,08
EL PINAR O REPUBLICA DEL CANADA  II SECTOR,04
LA PAZ CENTRAL,03
LOURDES,03
SANTA VIVIANA SECTOR VISTA HERMOSA,19
JAPON FRONTERA,11
CARACOLI,19
PUENTE GRANDE FLORENCIA,09
VEGAS DE SANTANA PRIMER SECTOR,08
LAS BRISAS,08
HORIZONTE OCCIDENTE,08
SAN PEDRO III SECTOR,11
VILLA CASTILLA,08
BERLIN DE BOSA LA LIBERTAD III SECTOR,07
TUNA ALTA SUBA (Sector el Rosal),11
VILLA BLANCA,11
ESPINO I SECTOR,19
RINCON DE LA ESTANCIA,19
BARRIO VILLA NELLY (ZONA OCTAVA DE CIUDAD KENNEDY),08
URBANIZACION LLANO GRANDE,08
CASA NUEVA,07
LA INDEPENDENCIA II SECTOR,07
BARRIO LA PAZ,07
URBANIZACIÓN LOS OLIVARES,05
SANTA MARTA II SECTOR,05
CASA DE TEJA,19
LA PORTADITA,07
LA CONCEPCION,07
EL JARDIN,07
EL PORVENIR SAN LUIS,07
LA ESTACION,07
EL CORZO,07
EL ESPINO,05
VILLA COLOMBIA,07
SAN JUANITO,07
ALFONSO LOPEZ (SECTOR CHARALA),05
EL TRIUNFO SUR,19
BARRIO SAN FRANCISCO PARTE ALTA,11
EL PALMAR I Y II,10
LOS CEREZOS,10
SORATAMA,01
VILLA ALEMANA II SECTOR,05
EL BOSQUE K-11,05
TORCOROMA,09
LA VEGUITA,07
SANTA FELISA,01
EL PALMAR,07
REPUBLICA CANADA III,04
LOS NARANJOS EL RETAZO,07
URBANIZACION GOVAROVA,18
CAÑIZA SECTOR III,11
TRIANGULOS DE LAS MATERAS,07
ALFONSO LOPEZ SECTOR LA ALBORADA,05
ALFONSO LOPEZ (SECTOR EL PROGRESO),05
URBANIZACION CALDAS,07
ESMERALDA,19
EL PORVENIR DE KENNEDY MANZANA A,08
CENTROAMERICAS,08
SAN JOSE OCCIDENTAL BARRIO SUB-OFICIALES,08
"BARRIO LA LIBERTAD SECTOR ""LA MAGNOLIA""",07
BERLIN,08
EL TUNO,05
EL BRILLANTE,05
VILLA KAREN,07
SAN PEDRO II SECTOR,07
EL BOSQUE DE BOSA,07
CORDILLERA  SUR,19
TUNA ALTA I,11
SAN ANTONIO NORTE,01
SAN FERNANDO BARRIO NUESTRA SEÑORA DE LA PAZ,07
VILLA SONIA 1,07
CHARLES DE GAULLE 2DO. SECTOR,07
BARRIO EL DIAMANTE SUR,07
SAGRADA FAMILIA II SECTOR,04
"LOTEO  ""EL PORVENIR"" FINCA ""SAN BERNARDO"" LA CONCEPCION - BOSA",07
MONTEVIDEO,05
URBANIZACION GOLCONDA,04
GRANADA SUR 3ER SECTOR,04
LA VICTORIA EL CORAL,04
CUIDAD MONACO,10
BARRIO SAN IGNACIO,10
DESARROLLO DE VIVIENDA EL TRIUNFO,08
VISTA HERMOSA,08
EL RINCON DE BOSA,07
LAS MARGARITAS SECTOR III,07
JUAN JOSE RONDON,19
BARRIO EL SALITRE - SUBA (PARTE ALTA),11
SANTA ISABEL,11
EL LLANITO BARRIO ESTACION BOSA,07
BARRIO ESTACION ( EL TEJAR ),07
CASALOMA,05
SAN AGUSTIN II SECTOR,18
ANDALUCIA,08
DANUBIO AZUL I Y II SECTOR,07
BRISAS DEL GALAN,16
YIRA CASTRO,16
"ALQUERIA DE LA FRAGUA, SECTOR SANTA YOLANDA",08
CHAPINERITO,05
VILLA HERMOSA,05
"URBANIZACION ""LA GROVANA""",04
MARICHUELA TERCER SECTOR (CAFAM II SECTOR),05
RAMAJAL,04
RAMAJAL,04
BARRIO ALTAMIRA,04
URBANIZACION EL RAMAJAL (GRANJAS Y HUERTAS),04
CASA LOMA,19
BARRIO REPUBLICA DEL CANADA EL PINAL,04
EL PARAISO SUR ORIENTAL (PRIMER SECTOR),04
EL REFUGIO DE SAN ANTONIO,01
VERBENAL III SECTOR ZONA 1,01
RELOTEO ANTIGUA HACIENDA LOS MOLINOS,18
LA ESMERALDA,11
BETANIA,09
VILLA DE LOS COMUNEROS,07
VILLA MENDOZA,08
SALAZAR SALAZAR,05
PORTAL DE ORIENTE,05
DOMINGO LAIN I,19
URBANIZACION GUATIQUIA II SECTOR,19
URBANIZACION GUIPARMA,18
EL VERGEL OCCIDENTAL,08
TIERRA GRATIS,07
URBANIZACIÓN NUEVA GRANADA (V SECTOR),07
EL PARAISO,07
VILLAS DEL VELERO,07
ISLANDIA,07
VILLA ROSITA,05
LA ESPERANZA K-10,05
PLAYON LA PLAYITA III SECTOR,18
LOS CEREZOS - SAN VICENTE,11
TURINGIA,11
LA ESPERANZA BARRIO: BRITALIA ,11
NUEVO TIMIZA,08
CASA GRANDE,19
SAN PEDRO II SECTOR,11
SAN PEDRO PRIMER SECTOR,11
SAN BERNARDINO SECTOR II,07
SANTA ANA,04
INES ELVIRA A.S.D.,19
MANUEL CRISTOBAL BARRIO EL PORTAL,09
BARRIO SANTA MARIA,08
VILLA LILIANA,08
MATURIN,01
EL PORVENIR SEGUNDO SECTOR,05
BUENOS AIRES,05
PALERMO SUR LAS BRISAS,18
LAS MANITAS,19
BARRIO LA ESPERANZA,18
SAN JORGE CENTRAL II SECTOR,15
LA AGUADITA III SECTOR,11
LA ESTANZUELA,11
ARENAL,11
URBANIZACION MORABIA II,08
TABERIN II SECTOR,11
TESORO II,19
EL MANANTIAL,07
"FLORIDA DEL SUR ANEXO DESARROLLO ""LUCERO SUR BAJO""",19
LA CUMBRE (ANTES RECUERDO SUR),19
SIERRA MORENA,19
PASTRANITA PRIMER SECTOR,08
ALFONSO LOPEZ MICHELSEN,08
VILLA NELLY III LOS ALISOS,08
URBANIZACION EL PARAISO,08
MITRANI,07
CARLOS ALBAN SECTOR ISRAELITA,07
ISLANDIA TERCER SECTOR,07
BARRIO LA SIERRA,04
DINDALITO,08
LA ESTANZUELA,07
CALDAS,07
TINTALITO II,08
URBANIZACION SAN JOAQUIN,07
LAS FLORES,09
VILLA ALEGRE,07
EL TRIANGULO,08
BARRIO EL DIVINO NIÑO,19
BELLA FLOR,19
URBANIZACION VASCONIA II,08
ARBORIZADORA ALTA,19
LA RESURRECCION II SECTOR,18
EL PARAISO,19
LOS LAURELES III SECTOR,07
BARRIO: HOLANDA (SEC. CAMINITO),07
URBANIZACION SAN JORGE,07
ISLANDIA II,07
NEW JERSEY,07
VILLA DE LA LOMA SEGUNDO SECTOR MANZANAS 31 Y 32,08
LOURDES II,03
TIBABITA,01
EL BOSQUE,05
