NOMBRE,CODIGO_LOCALIDAD
EL JAZMIN SECTOR EL TRIANGULO,07
LA RIVIERA II,07
URBANIZACION NUEVA GRANADA 2 SECTOR (TIBOLI),07
VILLAS DE SANTA ISABEL,05
LA FISCALA SECTOR NORTE,05
VEREDA EL PEDREGAL - LA LIRA,05
BARRIO SAN BLAS,04
LA ESPERANZA,05
PREDIO EL PARADERO SECTOR SAN BERNARDO,07
FLORIDA SUR ALTO,19
EL RECUERDO (SAN BERNARDINO),07
URBANIZACIÓN ARGELIA,07
SAN EUGENIO II VEREDA SAN JOSE,07
PARCELACION BELLAVISTA,04
EL QUINDIO II ALCALDIA MENOR: SAN CRISTOBAL,04
PANORAMA,04
LA CABAÑA,05
BARRIO BUENOS AIRES,04
CANAIMA,01
EL FUTURO,04
EL RINCON DE LA VICTORIA,04
NUEVAS MALVINAS (EL TRIUNFO),04
PRIMERO DE MAYO,04
CAMINO VIEJO DE SAN CRISTOBAL,04
MANILA ,04
MONTECARLO ,04
EL RINCON DE SAN CRISTOBAL,04
GRAN COLOMBIA BARRIO MOLINOS DE ORIENTE,04
PEÑON DEL CORTIJO III SECTOR,19
LOS SAUCES SECTOR LAS HORTALIZAS Y EL RECUERDO,19
EL MIRADOR DE LA ESTANCIA,19
URB: EL RUBI BARRIO SAN JOSE ORIENTAL ,04
CHAPARRAL,01
SAN CRISTOBAL VIEJO,04
BARRIO SAN ISIDRO SEGUNDO SECTOR,04
SAN ISIDRO SUR,04
JUAN REY,04
LA GRAN COLOMBIA,04
SAN JOSE SUR ORIENTAL,04
URBANIZACION SAN MARTIN,04
URBANIZACION SAN VICENTE,04
VILLALBANIA,04
RIOBAMBA II,11
VELODROMO,04
URBANIZACION SAN BLAS,04
EL PARAISO,02
EL PENCIL BARRIO EL SALITRE,11
URBANIZACION ACAPULCO I,19
URBANIZACION SAGRADO CORAZON,08
PARCELA 23 EL PORVENIR,07
"URBANIZACION ""TAYRONA""",08
NACIONES UNIDAS SECTOR CHAPARRO,19
SAN JOSE DE ENGATIVA,10
VILLA CLAVER SEGUNDO SECTOR,10
BARRIO EL LLANITO,08
EL JORDAN (ANTES EL SOLECITO Y LA LUNITA),08
CIUDAD LONDRES,04
PARCELACION RESIDENCIAL SAN GABRIEL,01
LA LIBERTAD II,07
URBANIZACION LA VEGUITA II,07
LA BELLEZA,04
BRAZUELOS SECTOR LA ESMERALDA,05
VILLA DIANA LOPEZ,19
VILLA GLADYS (SEGUNDO SECTOR),18
VILLA XIMENA,06
BARRIO PRADO VERANIEGO MANZANA 69,11
ALASKA ,11
BARRIO CAROLINA,18
BARRIO DANUBIO AZUL,05
POLICARPA SALAVARRIETA,15
TUNA BAJA II SECTOR,11
SALITRE SECTOR 3,11
BERNAL Y FORERO,11
COSTA RICA,11
URBANIZACION SANTO DOMINGO,10
LA CABAÑA,10
URBANIZACION EL DORADO NORTE BARRIO SAN JOAQUIN,10
SAN PABLO,05
URBANIZACION GRANADA SUR,04
LA ARBOLEDA II,18
LA ARBOLEDA SUR,18
LA SERRANIA SECTOR CULTIVOS,18
BARRIO RINCON DE LAS VILLAS,11
BARRIO PRADO CENTRAL,11
LOS PUENTES,18
PRADO VERANIEGO MANZAN 2,11
VILLA GLADYS,18
LA ALAMEDA,11
URBANIZACION LA CHUCUA,11
EL MIRADOR,10
MIRADOR SEGUNDO SECTOR,10
LOS PINOS BARRIO FLORENCIA,10
"ENGATIVA CENTRO BARRIO: LA TORTIGUA MANZ A,B,C",10
BUENOS AIRES Y LA ESPERANZA PARCELACION LA FISCALIA,18
EL PUERTO LA LOMA DE SAN CARLOS,18
BUENOS AIRES Y LA ESPERANZA SEGUNDO SECTOR,18
MARCO FIDEL SUARES II SECTOR,18
LOS SAUCES,07
BARRIO VILLA NUEVA,08
JUAN JOSE RONDON - SECTOR LA CASONA LOS COORDINADORES,19
CEDRITOS DEL SUR 2º SECTOR,19
SABANA DEL DORADO MZ: CH - G - U - V,10
LA CABAÑA Y SAN JOAQUIN,10
SAN JOAQUIN II SECTOR,10
URBANIZACION CIUDAD GRANADA,08
VILLA HERMOSA,08
SANTA BARBARA -  BOSA,07
GRANJAS DE NAMUR,11
URBANIZACION BARRIO VILLA GLADIS SECTOR LA MANZANA,10
VILLA CLAVER PRIMER SECTOR,10
EL PORVENIR DE KENNEDY II SECTOR (ANTES EL PORVENIR II- VIA CORABASTOS),08
LA PALESTINA I SECTOR,07
BARRANCAS NORTE,01
LA CITA,01
CONJUNTO RESIDENCIAL ANDINO,11
LOS ARRAYANES,11
BARRIO MEXICO 3º SECTOR,19
VILLAS DE BOLIVAR,19
VILLA JACQUI,19
VILLA DIANA,05
LOS ARRAYANES,05
VILLAS EL DIAMANTE,19
DOMINGO LAIN III SECTOR,19
LA ESPERANZA III SECTOR,07
BOSA NOVA  II SECTOR,07
NUEVA GRANADA 2O SECTOR,07
EL RUBI II,05
COSTA RICA,05
LOS TEJARES SUR. II SECTOR,05
DAZA SECTOR II,05
BRISAS DEL VOLADOR,19
BOSANOVA,07
LA ESMERALDA. NUESTRA SEÑORA DE LA PAZ,07
LA ESPERANZA I Y II SECTOR,07
BRASIL SEGUNDO SECTOR (II ETAPA),07
LA PAZ SAN IGNACIO - LAS VEGAS DE BOSA,07
LAS MANITAS - 2 SECTOR,19
CIUDAD MILAGRO,19
LOS ANDES,19
HORIZONTES,01
LA FRONTERA,01
BARRIO EL TRIANGULO,05
BOSQUE CALDERON TEJADA SECTOR III MANZANA I LOTES 4 5 7 8,02
NUEVA GRANADA,02
LOS OLIVOS,02
MILAN BARRIO BARRANCAS,01
EL RECUERDO 4A-5-6-7,07
LA FORTALEZA,05
URBANIZACIÓN LA VEGUITA IV,07
EL PORVENIR SECTOR BRASIL,07
BARRIO SAN EUGENIO,07
EL LIBERTADOR II.,07
SAN BERNARDINO,07
BRAZUELOS,05
BRISAS DEL LLANO,05
BARRIO SANTA LIBRADA SECTOR PEÑA,05
CALLEJON DE SANTA BARBARA SUR ORIENTAL,18
EL VERGEL,08
BARRIO MARIA PAZ,08
EL PROGRESO,07
LOS DUQUES,19
GUADALUPE,08
SAN JORGE II,07
URBANIZACION PIAMONTE I ETAPA,07
MIRAFLORES 2 SECTOR BARRIO CARLOS ALBAN,07
CARLOS ALBAN SECTOR MIRAFLORES,07
"BARRIO BRASIL SECTORES MATERAS, ACACIAS, SAN JORGE",07
LA AZUCENA - ESTACION BOSA -,07
CARLOS ALBAN HOLGUIN BARRIO NUEVA GRANADA,07
LA ESMERALDA SUR,19
VILLA ISRAEL,05
FINCA LA ESPERANZA,05
EL TRIUNFO,18
VISTA BELLA III SECTOR,11
PRADO SUR ANTES CATALAYUD BARRIO PRADO NORTE,11
ALMONACID,11
SOCORRO IV,18
BARRIO BERLIN,11
CASA BLANCA II ,11
PALERMO SUR LOS ARRAYANES,18
PALERMO SUR OSWALDO GOMEZ,18
HERNANDO ROJAS,11
BARRANCAS,01
LOS OLIVOS,01
URBANIZACION SANTA TERESA,01
BARRANCAS II SECTOR,01
BARRIO LA GLORIETA CALLE 120 -121 CARRERAS 3 - 3A,01
SANTA INES Y SANTA HELENA,11
VILLA ESPERANZA ,11
BARRIO BOSQUES DE MARIANA ZONA 10,10
URBANIZACION SAN PABLO I,07
SAN JOAQUIN DEL VATICANO (EL GALPON),19
BOGOTA SUR LA ESPERANZA,19
ARABIA,19
SAN ISIDRO (II SECTOR),19
SAN ISIDRO SECTOR CERRITO I,19
ESARROLLO EL PORTAL DEL RIO,10
SABANAS DEL DORADO I,10
BARRIO EL SALITRE,10
LA CITA,01
EL MUELLE II,10
LUIS CARLOS GALAN SARMIENTO,10
ALEJANDRIA,10
EL PAÑUELITO,01
URBANIZACION EL TOBERIN,01
LOS LAURELES,10
SANTANDERCITO,01
BUENAVISTA,01
ESTRELLITA Y BUENAVISTA II,01
URBANIZACION LAS VEGAS DEL RECUERDO,01
UNICERROS,01
MIRAMAR,11
VILLA CINDY,11
SAN ANTONIO NORTE II SECTOR,01
BUENAVISTA MANZANA C,01
TIBABITA LOTE NO. 19,01
LOTE NO. 32 PARCELACION TIBABITA,01
LA CITA,01
SAN ANTONIO NORTE,01
VERBENAL II SECTOR,01
VIÑA DEL MAR,01
JUAN JOSE RONDON 2º SECTOR,05
BARRIO SOTAVENTO II SECTOR,19
"ENGATIVA CENTRO BARRIO: LA TORTIGUA MANZ I,J",10
LA AZUCENA (S. TRIANGULO),07
ANTONIA SANTOS,07
VILLA ANGELICA A.S.D.,04
BELLA VISTA EL LUCERO,04
DIANA TURBAY,18
EL SATELITE - HACIENDA LA MARIA,19
SAN ISIDRO SECTOR CERRITO II,19
BRAZUELOS SECTOR SANTO DOMINGO,19
CALLEJÓN DE SANTA BÁRBARA SUR I Y II SECTOR,18
AGUAS CLARAS,04
EL BALCONCITO,03
TECNINTEGRAL S.A CRA. 89 Nº 61-45 SUR,07
SAN MARTIN DE PORRES,02
LA PAZ PLAN V,07
LA PAZ SAN IGNACIO II,07
VILLA DEL CERRO,02
TORTIGUA CRA 126A CL 61,10
JOSE ANTONIO GALAN,07
URBANIZACION NUEVA GRANADA,07
LA ESMERALDA,07
ASENTAMIENTO VILLA NHORA II,07
URBANIZACION LA AURORA BARRIO JIMENEZ DE QUESADA,07
LA CABAÑA VEREDA YOMASA,05
VISTA HERMOSA MODIFICACION PLANO NO. CB4/4-4 MANZANAS 77A-79A-81A-82-82A-84A,19
SAN BERNARDINO (SEC. POTRERITO),07
LAS PALMAS NORTE,10
EL MUELLE I,10
PIRAMIDE,10
VILLA CONSTANZA,10
VILLA EL DORADO NORTE,10
